ID,Provincia,Canton,Localizacion,Poblacion,Cantidad,Tasa,Genero,Año
245,SAN JOSE,ESCAZU,HIGADO,30462,2,6.57,HOMBRE,2011
246,SAN JOSE,DESAMPARADOS,HIGADO,152103,5,3.29,HOMBRE,2011
247,SAN JOSE,PURISCAL,HIGADO,15760,0,0,HOMBRE,2011
248,SAN JOSE,TARRAZU,HIGADO,8417,1,11.88,HOMBRE,2011
249,SAN JOSE,ASERRI,HIGADO,28084,3,10.68,HOMBRE,2011
250,SAN JOSE,MORA,HIGADO,13686,0,0,HOMBRE,2011
251,SAN JOSE,GOICOECHEA,HIGADO,65633,7,10.67,HOMBRE,2011
252,SAN JOSE,SANTA ANA,HIGADO,22017,0,0,HOMBRE,2011
253,SAN JOSE,ALAJUELITA,HIGADO,66685,0,0,HOMBRE,2011
254,SAN JOSE,CORONADO,HIGADO,41330,2,4.84,HOMBRE,2011
255,SAN JOSE,ACOSTA,HIGADO,9987,0,0,HOMBRE,2011
256,SAN JOSE,TIBAS,HIGADO,30106,5,16.61,HOMBRE,2011
257,SAN JOSE,MORAVIA,HIGADO,27111,5,18.44,HOMBRE,2011
258,SAN JOSE,MONTES DE OCA,HIGADO,26539,3,11.3,HOMBRE,2011
259,SAN JOSE,TURRUBARES,HIGADO,2390,0,0,HOMBRE,2011
260,SAN JOSE,DOTA,HIGADO,3338,0,0,HOMBRE,2011
261,SAN JOSE,CURRIDABAT,HIGADO,36497,1,2.74,HOMBRE,2011
262,SAN JOSE,PEREZ ZELEDON,HIGADO,65271,6,9.19,HOMBRE,2011
263,SAN JOSE,LEON CORTES,HIGADO,6824,0,0,HOMBRE,2011
264,ALAJUELA,CENTRAL,HIGADO,145135,12,8.27,HOMBRE,2011
265,ALAJUELA,SAN RAMON,HIGADO,45418,1,2.2,HOMBRE,2011
266,ALAJUELA,GRECIA,HIGADO,42227,4,9.47,HOMBRE,2011
267,ALAJUELA,SAN MATEO,HIGADO,2985,0,0,HOMBRE,2011
268,ALAJUELA,ATENAS,HIGADO,13364,0,0,HOMBRE,2011
269,ALAJUELA,NARANJO,HIGADO,23020,3,13.03,HOMBRE,2011
270,ALAJUELA,PALMARES,HIGADO,19341,2,10.34,HOMBRE,2011
