ID,Provincia,Canton,Localizacion,Cantidad,Tasa,Genero,Año
,CARTAGO,TURRIALBA,ESTOMAGO,5,13.9,HOMBRE,2011
,CARTAGO,ALVARADO,ESTOMAGO,3,42.92,HOMBRE,2011
,CARTAGO,OREAMUNO,ESTOMAGO,7,31.03,HOMBRE,2011
,CARTAGO,EL GUARCO,ESTOMAGO,5,25.22,HOMBRE,2011
,HEREDIA,CENTRAL,ESTOMAGO,7,10.42,HOMBRE,2011
,HEREDIA,BARVA,ESTOMAGO,1,5.01,HOMBRE,2011
,HEREDIA,SANTO DOMINGO,ESTOMAGO,7,36.93,HOMBRE,2011
,HEREDIA,SANTA BARBARA,ESTOMAGO,3,16.9,HOMBRE,2011
,HEREDIA,SAN RAFAEL,ESTOMAGO,2,9.07,HOMBRE,2011
,HEREDIA,SAN ISIDRO,ESTOMAGO,2,17.58,HOMBRE,2011
,HEREDIA,BELEN,ESTOMAGO,0,0,HOMBRE,2011
,HEREDIA,FLORES,ESTOMAGO,2,22.48,HOMBRE,2011
,HEREDIA,SAN PABLO,ESTOMAGO,2,17.06,HOMBRE,2011
,HEREDIA,SARAPIQUI,ESTOMAGO,3,7.14,HOMBRE,2011
,GUANACASTE,LIBERIA,ESTOMAGO,4,14.65,HOMBRE,2011
,GUANACASTE,NICOYA,ESTOMAGO,5,24.33,HOMBRE,2011
,GUANACASTE,SANTA CRUZ,ESTOMAGO,9,40.02,HOMBRE,2011
,GUANACASTE,BAGACES,ESTOMAGO,3,30.51,HOMBRE,2011
,GUANACASTE,CARRILLO,ESTOMAGO,2,12.88,HOMBRE,2011
,GUANACASTE,CAÑAS,ESTOMAGO,0,0,HOMBRE,2011
,GUANACASTE,ABANGARES,ESTOMAGO,0,0,HOMBRE,2011
,GUANACASTE,TILARAN,ESTOMAGO,2,23.67,HOMBRE,2011
,GUANACASTE,NANDAYURE,ESTOMAGO,1,19.53,HOMBRE,2011
,GUANACASTE,LA CRUZ,ESTOMAGO,3,33.85,HOMBRE,2011
,GUANACASTE,HOJANCHA,ESTOMAGO,1,29.55,HOMBRE,2011
,PUNTARENAS,CENTRAL,ESTOMAGO,4,7.32,HOMBRE,2011
,PUNTARENAS,ESPARZA,ESTOMAGO,4,28.07,HOMBRE,2011
,PUNTARENAS,BUENOS AIRES,ESTOMAGO,3,13.3,HOMBRE,2011
,PUNTARENAS,MONTES DE ORO,ESTOMAGO,0,0,HOMBRE,2011
,PUNTARENAS,OSA,ESTOMAGO,4,36.51,HOMBRE,2011
,PUNTARENAS,AGUIRRE,ESTOMAGO,3,23.26,HOMBRE,2011
,PUNTARENAS,GOLFITO,ESTOMAGO,3,19.69,HOMBRE,2011
,PUNTARENAS,COTO BRUS,ESTOMAGO,5,28.38,HOMBRE,2011
,PUNTARENAS,PARRITA,ESTOMAGO,1,15.4,HOMBRE,2011
,PUNTARENAS,CORREDORES,ESTOMAGO,4,24.09,HOMBRE,2011
,PUNTARENAS,GARABITO,ESTOMAGO,1,8.01,HOMBRE,2011
,LIMON,CENTRAL,ESTOMAGO,3,5.54,HOMBRE,2011
,LIMON,POCOCI,ESTOMAGO,11,13.51,HOMBRE,2011
,LIMON,SIQUIRRES,ESTOMAGO,7,21.73,HOMBRE,2011
,LIMON,TALAMANCA,ESTOMAGO,3,16.61,HOMBRE,2011
,LIMON,MATINA,ESTOMAGO,1,3.9,HOMBRE,2011
,LIMON,GUACIMO,ESTOMAGO,4,15.92,HOMBRE,2011
,SAN JOSE,CENTRAL,BRONQUIOS Y PULMON,16,9.09,HOMBRE,2011
,SAN JOSE,ESCAZU,BRONQUIOS Y PULMON,3,9.85,HOMBRE,2011
,SAN JOSE,DESAMPARADOS,BRONQUIOS Y PULMON,12,7.89,HOMBRE,2011
,SAN JOSE,PURISCAL,BRONQUIOS Y PULMON,1,6.35,HOMBRE,2011
,SAN JOSE,TARRAZU,BRONQUIOS Y PULMON,1,11.88,HOMBRE,2011
,SAN JOSE,ASERRI,BRONQUIOS Y PULMON,3,10.68,HOMBRE,2011
,SAN JOSE,MORA,BRONQUIOS Y PULMON,2,14.61,HOMBRE,2011
,SAN JOSE,GOICOECHEA,BRONQUIOS Y PULMON,6,9.14,HOMBRE,2011
,SAN JOSE,SANTA ANA,BRONQUIOS Y PULMON,1,4.54,HOMBRE,2011
,SAN JOSE,ALAJUELITA,BRONQUIOS Y PULMON,6,9,HOMBRE,2011
,SAN JOSE,CORONADO,BRONQUIOS Y PULMON,3,7.26,HOMBRE,2011
,SAN JOSE,ACOSTA,BRONQUIOS Y PULMON,0,0,HOMBRE,2011
,SAN JOSE,TIBAS,BRONQUIOS Y PULMON,7,23.25,HOMBRE,2011
,SAN JOSE,MORAVIA,BRONQUIOS Y PULMON,5,18.44,HOMBRE,2011
,SAN JOSE,MONTES DE OCA,BRONQUIOS Y PULMON,1,3.77,HOMBRE,2011
,SAN JOSE,TURRUBARES,BRONQUIOS Y PULMON,0,0,HOMBRE,2011
,SAN JOSE,DOTA,BRONQUIOS Y PULMON,0,0,HOMBRE,2011
,SAN JOSE,CURRIDABAT,BRONQUIOS Y PULMON,4,10.96,HOMBRE,2011
,SAN JOSE,PEREZ ZELEDON,BRONQUIOS Y PULMON,3,4.6,HOMBRE,2011
,SAN JOSE,LEON CORTES,BRONQUIOS Y PULMON,0,0,HOMBRE,2011
,ALAJUELA,CENTRAL,BRONQUIOS Y PULMON,16,11.02,HOMBRE,2011
,ALAJUELA,SAN RAMON,BRONQUIOS Y PULMON,1,2.2,HOMBRE,2011
,ALAJUELA,GRECIA,BRONQUIOS Y PULMON,0,0,HOMBRE,2011
,ALAJUELA,SAN MATEO,BRONQUIOS Y PULMON,1,33.5,HOMBRE,2011
,ALAJUELA,ATENAS,BRONQUIOS Y PULMON,1,7.48,HOMBRE,2011
,ALAJUELA,NARANJO,BRONQUIOS Y PULMON,4,17.38,HOMBRE,2011
,ALAJUELA,PALMARES,BRONQUIOS Y PULMON,3,15.51,HOMBRE,2011
,ALAJUELA,POAS,BRONQUIOS Y PULMON,1,6.15,HOMBRE,2011
,ALAJUELA,OROTINA,BRONQUIOS Y PULMON,1,10.44,HOMBRE,2011
,ALAJUELA,SAN CARLOS,BRONQUIOS Y PULMON,3,3.87,HOMBRE,2011
,ALAJUELA,ALFARO RUIZ,BRONQUIOS Y PULMON,0,0,HOMBRE,2011
,ALAJUELA,VALVERDE VEGA,BRONQUIOS Y PULMON,0,0,HOMBRE,2011
,ALAJUELA,UPALA,BRONQUIOS Y PULMON,2,10.68,HOMBRE,2011
,ALAJUELA,LOS CHILES,BRONQUIOS Y PULMON,0,0,HOMBRE,2011
,ALAJUELA,GUATUSO,BRONQUIOS Y PULMON,1,11.5,HOMBRE,2011
,CARTAGO,CENTRAL,BRONQUIOS Y PULMON,8,10.18,HOMBRE,2011
,CARTAGO,PARAISO,BRONQUIOS Y PULMON,5,14.17,HOMBRE,2011
,CARTAGO,LA UNION,BRONQUIOS Y PULMON,2,3.72,HOMBRE,2011
,CARTAGO,JIMENEZ,BRONQUIOS Y PULMON,0,0,HOMBRE,2011
,CARTAGO,TURRIALBA,BRONQUIOS Y PULMON,2,5.56,HOMBRE,2011
,CARTAGO,ALVARADO,BRONQUIOS Y PULMON,1,14.31,HOMBRE,2011
,CARTAGO,OREAMUNO,BRONQUIOS Y PULMON,0,0,HOMBRE,2011
,CARTAGO,EL GUARCO,BRONQUIOS Y PULMON,1,5.04,HOMBRE,2011
,HEREDIA,CENTRAL,BRONQUIOS Y PULMON,10,14.89,HOMBRE,2011
,HEREDIA,BARVA,BRONQUIOS Y PULMON,1,5.01,HOMBRE,2011
,HEREDIA,SANTO DOMINGO,BRONQUIOS Y PULMON,3,15.83,HOMBRE,2011
,HEREDIA,SANTA BARBARA,BRONQUIOS Y PULMON,0,0,HOMBRE,2011
,HEREDIA,SAN RAFAEL,BRONQUIOS Y PULMON,4,18.13,HOMBRE,2011
,HEREDIA,SAN ISIDRO,BRONQUIOS Y PULMON,1,8.79,HOMBRE,2011
,HEREDIA,BELEN,BRONQUIOS Y PULMON,1,8.45,HOMBRE,2011
,HEREDIA,FLORES,BRONQUIOS Y PULMON,1,11.24,HOMBRE,2011
,HEREDIA,SAN PABLO,BRONQUIOS Y PULMON,1,8.53,HOMBRE,2011
,HEREDIA,SARAPIQUI,BRONQUIOS Y PULMON,1,2.38,HOMBRE,2011
,GUANACASTE,LIBERIA,BRONQUIOS Y PULMON,3,10.99,HOMBRE,2011
,GUANACASTE,NICOYA,BRONQUIOS Y PULMON,0,0,HOMBRE,2011
,GUANACASTE,SANTA CRUZ,BRONQUIOS Y PULMON,4,17.79,HOMBRE,2011
,GUANACASTE,BAGACES,BRONQUIOS Y PULMON,0,0,HOMBRE,2011
,GUANACASTE,CARRILLO,BRONQUIOS Y PULMON,0,0,HOMBRE,2011
,GUANACASTE,CAÑAS,BRONQUIOS Y PULMON,0,0,HOMBRE,2011
,GUANACASTE,ABANGARES,BRONQUIOS Y PULMON,0,0,HOMBRE,2011
,GUANACASTE,TILARAN,BRONQUIOS Y PULMON,1,11.84,HOMBRE,2011
,GUANACASTE,NANDAYURE,BRONQUIOS Y PULMON,1,19.53,HOMBRE,2011
,GUANACASTE,LA CRUZ,BRONQUIOS Y PULMON,1,11.28,HOMBRE,2011
,GUANACASTE,HOJANCHA,BRONQUIOS Y PULMON,0,0,HOMBRE,2011
,PUNTARENAS,CENTRAL,BRONQUIOS Y PULMON,6,10.98,HOMBRE,2011
,PUNTARENAS,ESPARZA,BRONQUIOS Y PULMON,1,7.02,HOMBRE,2011
,PUNTARENAS,BUENOS AIRES,BRONQUIOS Y PULMON,1,4.43,HOMBRE,2011
,PUNTARENAS,MONTES DE ORO,BRONQUIOS Y PULMON,0,0,HOMBRE,2011
,PUNTARENAS,OSA,BRONQUIOS Y PULMON,0,0,HOMBRE,2011
,PUNTARENAS,AGUIRRE,BRONQUIOS Y PULMON,1,7.75,HOMBRE,2011
,PUNTARENAS,GOLFITO,BRONQUIOS Y PULMON,3,19.69,HOMBRE,2011
,PUNTARENAS,COTO BRUS,BRONQUIOS Y PULMON,4,22.71,HOMBRE,2011
,PUNTARENAS,PARRITA,BRONQUIOS Y PULMON,0,0,HOMBRE,2011
,PUNTARENAS,CORREDORES,BRONQUIOS Y PULMON,1,6.02,HOMBRE,2011
,PUNTARENAS,GARABITO,BRONQUIOS Y PULMON,1,8.01,HOMBRE,2011
,LIMON,CENTRAL,BRONQUIOS Y PULMON,3,5.54,HOMBRE,2011
,LIMON,POCOCI,BRONQUIOS Y PULMON,6,7.37,HOMBRE,2011
,LIMON,SIQUIRRES,BRONQUIOS Y PULMON,9,27.94,HOMBRE,2011
,LIMON,TALAMANCA,BRONQUIOS Y PULMON,2,11.07,HOMBRE,2011
,LIMON,MATINA,BRONQUIOS Y PULMON,1,3.9,HOMBRE,2011
,LIMON,GUACIMO,BRONQUIOS Y PULMON,2,7.96,HOMBRE,2011
,SAN JOSE,CENTRAL,HIGADO,12,6.82,HOMBRE,2011
,SAN JOSE,ESCAZU,HIGADO,2,6.57,HOMBRE,2011
